addres,reportDetails,reportType,lat,lng
"Tamar Regional Council, Beersheba Subdistrict, Israel",נערים ברכב עם מוזיקה חזקה ,Car,31.4523959,35.3848241
"צבעוני, Hof HaCarmel Regional Council, Israel",הומלס יושב בפינה ליד הפלאפל,A person drunk/addict/suspect,32.5722094,34.9194512
"Rabi Akiva Beer-Sheba, Israel",אין אור, Dark Street,31.2614057,34.7902153
"פארק הסופרים, Shchuna B, Beer-Sheba, Israel",יונדאי כחולה עם 2 אנשים בפנים שומעים מוזיקה חזקה,Car,31.2555513,34.788834
"Yitzhak Navo Kiryat Ono, Israel",יושב לבד בלילה ,A person drunk/addict/suspect,32.0629685,34.8398928
"HaHalacha, 5158103 Ramat Gan, Israel",רחוב צדדי בלי מנורות, Dark Street,32.0750687,34.8257002
"Avraham Avinu, 8452566 Beer-Sheba, Israel",רכב אדום עם חבורת נערים מציקים לנערות,Car,31.2700384,34.7960759
"Rabina, 6946032 Tel Aviv-Yafo, Israel",בן אדם מסומם לבד ליד התחנת אוטובוס,A person drunk/addict/suspect,32.1211805,34.7994703
"Manga Bar, Yitzhack Rager Avenue 87, 8452566 Beer Sheva, Israel",אין מנורות רחוב חשוך מומלץ לא לעבור לבד, Dark Street,31.2599632,34.7977888
"HaZiporen, 9695102 Jerusalem, Israel",אין אור, Dark Street,31.7367125,35.1904213
"Merom HaGalil Regional Council, Safed Subdistrict, Israel",בן אדם מסומם,A person drunk/addict/suspect,32.8749932,35.4527711
"Rimon 16, 5225527 Bnei Brak, Israel",אין אור ליד הפיצרייה, Dark Street,32.071985,34.8367414
"Be'er Sheva, Masada, 8445316 Beer Sheva, Israel",צועקים לנערות מהחלון,Car,31.2591077,34.7837358
"Bnei Shimon Regional Council, Beersheba Subdistrict, Israel",בן אדם שיכור  חולצה כחולה,A person drunk/addict/suspect,31.24041,34.7150744
"Shaar HaNegev Regional Council, Ashkelon Subdistrict, Israel",הפסקת חשמל בכל הרחוב, Dark Street,31.5566083,34.602628
